season,basin,storm,type,satellite,resolution,image
tc98,IO,07B.NONAME,ssmi,composite,none,19981119.0329.f14.multisensor.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,85hw,none,1919981121.1407.f14.weak.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,85hw,none,1919981121.2326.f13.weak.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,85hw,none,1919981122.0121.f11.weak.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,85hw,none,1919981122.0252.f14.weak.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,85hw,none,1919981122.1224.f11.weak.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,85hw,none,1919981123.0108.f11.weak.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,85hw,none,1919981123.0239.f14.weak.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,85hw,none,1919981123.1210.f11.weak.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,85hw,none,19981119.0202.f11.weak.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,85hw,none,19981119.0329.f14.weak.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,85hw,none,19981119.1106.f13.weak.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,85hw,none,19981119.1305.f11.weak.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,85hw,none,19981119.1432.f14.weak.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,85hw,none,19981119.2351.f13.weak.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,85hw,none,19981120.0148.f11.weak.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,85hw,none,19981120.0317.f14.weak.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,gmsir2,none,19981119.1106.ssmi.ir.bd.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,gmsir2,none,19981119.1305.ssmi.ir.bd.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,gmsir2,none,19981119.1432.ssmi.ir.bd.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,gmsir2,none,19981119.2351.ssmi.ir.bd.NONAME.x.jpg
tc98,IO,91B.INVEST,vis,geo,1km,19981120.0131.gms-5.vis.x.INVEST.x.jpg
tc98,IO,07B.NONAME,ssmi,gmsir,none,19981119.0202.ssmi.ir.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,gmsir,none,19981119.0329.ssmi.ir.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,gmsir,none,19981119.1106.ssmi.ir.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,gmsir,none,19981119.1305.ssmi.ir.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,gmsir,none,19981119.1432.ssmi.ir.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,gmsir,none,19981119.2351.ssmi.ir.x.NONAME.x.jpg
